-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.762,-0.762,-1.17,-1.45,-1.45,-1.68,-1.86,-1.68,-1.68,-1.17,-0.762,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.762,-0.0687,-0.762,-1.17,-1.68,-1.57,-2.01,-2.35,-2.73,-3.06,-3.29,-3.36,-4.03,-4.55,-4.23,-3.83,-3.11,-2.27,-1.68,-0.762,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.762,-1.45,-2.37,-2.96,-2.58,-2.36,-2.33,-2.57,-2.56,-2.54,-2.8,-2.86,-3.2,-3.43,-3.2,-4.04,-4.09,-3.36,-2.63,-1.45,-1.17,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.762,-0.0687,-0.762,-1.29,-1.6,-1.31,-1.13,-1.03,-0.683,-0.52,-0.422,-0.373,-0.413,-0.536,-0.74,-0.932,-1.23,-1.79,-3.36,-3.42,-3.4,-2.15,-1.68,-1.17
-0.0687,-0.0687,-0.0687,-0.0687,-0.762,-0.58,-0.762,-0.965,-0.923,-0.723,-0.493,-0.268,-0.0241,0.0424,0.132,0.151,0.164,0.083,-0.125,-0.353,-0.648,-1.16,-2.01,-2.33,-2.68,-2.55,-1.86,-1.17
-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.608,-0.387,-0.361,-0.449,-0.294,-0.0755,0.13,0.198,0.281,0.375,0.43,0.443,0.387,0.175,-0.0485,-0.386,-0.866,-1.55,-2.32,-2.94,-2.84,-1.86,-0.762
-0.0687,-0.0687,-0.0687,-0.0687,-0.405,0.0367,-0.113,0.0142,0.026,0.128,0.204,0.243,0.259,0.252,0.327,0.456,0.419,0.321,0.158,-0.0339,-0.376,-0.83,-1.34,-2.01,-3.38,-2.9,-0.762,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,0.0648,0.351,0.281,0.274,0.448,0.435,0.248,0.153,-0.0347,-0.221,-0.457,-0.178,0.00191,0.157,0.0687,0.0015,-0.306,-0.673,-0.974,-1.74,-2.29,-2.01,-0.762,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,0.55,0.624,0.578,0.624,0.724,0.597,0.238,-0.0912,-0.66,-1.2,-0.965,-0.436,-0.0905,0.0442,0.0782,0.0401,-0.117,-0.395,-0.762,-1.66,-1.68,-1.17,-0.762,-0.762
-0.0687,-0.0687,-0.0687,1.03,0.912,0.953,0.915,1.11,0.952,0.667,0.289,-0.425,-0.948,-1.13,-0.679,-0.317,-0.066,0.0707,0.185,0.255,0.127,-0.00808,-0.721,-1.17,-1.86,-0.762,-0.762,-0.762
-0.0687,-0.0687,-0.0687,1.54,1.27,1.28,1.31,1.37,1.17,0.857,0.379,-0.337,-0.714,-0.595,-0.381,-0.155,-0.0427,0.166,0.41,0.562,0.533,0.183,-0.31,-1.61,-1.45,-0.762,0.624,-0.0687
-0.0687,-0.0687,-0.0687,1.54,2.76,1.63,1.62,1.6,1.36,1.02,0.492,-0.0687,-0.327,-0.329,-0.222,-0.12,0.0345,0.33,0.622,0.848,0.697,0.435,0.0491,-0.985,-1.86,-0.0687,0.624,-0.0687
-0.0687,-0.0687,-0.0687,1.32,2.5,2.11,1.72,1.79,1.52,0.897,0.362,-0.0774,-0.256,-0.292,-0.189,-0.057,0.165,0.486,0.679,0.761,0.45,0.114,0.154,-1.37,-1.86,0.624,1.03,-0.0687
-0.0687,-0.0687,-0.0687,1.03,1.32,1.24,1.35,1.25,0.916,0.303,-0.0405,-0.305,-0.37,-0.337,-0.172,0.05,0.246,0.416,0.432,0.319,0.0348,-0.263,-0.58,-1.68,-1.86,0.624,0.624,-0.0687
-0.0687,-0.0687,0.624,1.03,-0.0687,0.56,0.424,-0.0687,-0.302,-0.528,-0.689,-0.729,-0.611,-0.308,-0.0166,0.203,0.273,0.28,0.176,-0.0515,-0.251,-0.838,-1.25,-1.32,-1.86,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,0.624,0.624,-0.474,-0.831,-1.21,-1.41,-1.38,-1.45,-1.39,-1.2,-0.742,-0.18,0.24,0.248,0.259,0.101,-0.0797,-0.208,-0.684,-1.23,-1.1,-1.05,-1.17,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,0.624,-0.474,-1.57,-2.06,-2.24,-2.33,-2.39,-1.85,-1.25,-0.528,0.0305,0.269,0.209,0.121,-0.112,-0.368,-0.481,-0.654,-1.44,-1.04,-1.17,-0.292,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,0.624,-0.762,-2.5,-2.44,-2.92,-3.06,-2.41,-1.89,-1.16,-0.332,0.0446,0.0912,0.0643,-0.123,-0.335,-0.558,-0.637,-0.697,-1.13,-0.89,-1.02,-0.0687,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.985,-2.66,-2.69,-2.76,-2.6,-2.08,-1.47,-0.895,-0.494,-0.305,-0.218,-0.201,-0.306,-0.544,-0.546,-0.623,-0.571,-0.595,-0.806,-0.857,0.219,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-1.17,-2.93,-2.43,-2.32,-1.99,-1.62,-1.28,-0.927,-0.679,-0.557,-0.476,-0.465,-0.472,-0.53,-0.474,-0.339,-0.189,-0.0687,-0.667,-0.405,0.219,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,0.624,-2.11,-2.01,-1.52,-1.33,-1.15,-0.903,-0.846,-0.716,-0.666,-0.557,-0.472,-0.427,-0.345,-0.0855,0.0631,0.624,0.593,0.172,0.779,0.337,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,1.03,-0.356,-0.831,-0.568,-0.495,-0.366,-0.293,-0.308,-0.296,-0.313,-0.222,-0.0931,0.0421,0.187,0.58,0.783,1.03,0.999,1.67,2.01,0.624,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,0.624,1.88,2.76,2.13,2.46,2.53,2.48,2.21,1.93,1.75,1.69,1.85,2.11,2.48,2.45,2.13,2.55,3.23,2.57,1.54,1.03,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,0.624,1.03,1.32,1.88,2.5,3.07,3.37,3.54,3.62,3.67,3.62,3.69,3.57,3.49,3.4,3.19,2.57,2.33,1.32,0.624,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687
-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,0.624,0.624,1.03,0.624,0.624,-0.0687,0.624,1.03,0.624,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687,-0.0687
